"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Florida","Alachua County, Florida",12001,4,0,0,0,0,0,0,4,44702,51981,7279,0.5161,7,75.77094113975,16.5682923178058,282.7
"Florida","Brevard County, Florida",12009,4,2,3,0,0,0,0,12,49914,51917,2003,0.4528,9.3,73.7447748878547,15.8251540217948,535
"Florida","Broward County, Florida",12011,5,3,3,0,0,0,0,14,52954,60118,7164,0.4807,8.7,81.6393406513514,15.6518015472829,1444.9
"Florida","Charlotte County, Florida",12015,1,0,0,0,0,0,0,1,44865,45956,1091,0.4525,10.1,66.7452665279767,15.437366702938,235.2
"Florida","Clay County, Florida",12019,2,0,0,0,0,0,0,2,59179,60172,993,0.4115,8.9,76.9243831981482,15.6078406627669,315.8
"Florida","DeSoto County, Florida",12027,1,0,0,0,0,0,0,1,35513,39550,4037,0.4287,8.3,62.3696512616955,13.4529320356588,54.7
"Florida","Escambia County, Florida",12033,2,0,0,0,0,0,0,2,46117,51971,5854,0.435,8.3,74.7301937798277,15.6961242125706,453.4
"Florida","Hillsborough County, Florida",12057,3,0,2,0,0,0,0,7,51681,62236,10555,0.4804,7.9,79.2727106987037,15.6780702642503,1204.9
"Florida","Lake County, Florida",12069,1,0,1,0,0,0,0,3,47141,48506,1365,0.4292,8.2,73.2669686095065,15.3102539819199,316.6
"Florida","Lee County, Florida",12071,4,0,2,0,0,0,0,8,50390,53930,3540,0.4768,8.5,72.9143538112818,15.3905228175664,788.7
"Florida","Miami-Dade County, Florida",12086,2,7,14,1,0,0,0,38,44224,70444,26220,0.5264,8.5,77.8755148868072,14.9466943158825,1315.5
"Florida","Orange County, Florida",12095,3,2,2,0,0,1,1,9,49391,60489,11098,0.4813,8.1,80.478618641674,15.691506442298,1268.5
"Florida","Osceola County, Florida",12097,1,0,0,0,0,0,0,1,45536,54166,8630,0.4304,8.3,74.5146341760733,15.0167966790285,202.4
"Florida","Palm Beach County, Florida",12099,0,2,0,0,0,0,0,2,55277,62814,7537,0.5169,8.2,79.8088111397313,15.717611638663,670.2
"Florida","Pasco County, Florida",12101,2,0,1,0,0,0,0,4,46010,45721,-289,0.4469,8.2,71.2851636793091,15.4049789641173,622.2
"Florida","Pinellas County, Florida",12103,3,0,2,0,0,0,0,7,47090,49850,2760,0.4861,7.3,76.7973797340854,15.7850717896809,3347.5
"Florida","St. Johns County, Florida",12109,0,0,1,0,0,0,0,2,69523,71059,1536,0.4772,6,76.6005163707016,16.5341886458564,316.4
"Florida","St. Lucie County, Florida",12111,0,1,0,0,0,0,0,1,44140,48858,4718,0.4625,9.9,72.2647759821037,15.0930515468836,485.7
"Florida","Seminole County, Florida",12117,0,2,0,0,0,0,0,2,58538,64892,6354,0.4571,8,79.8919709256086,16.2356004582856,1367
"Florida","Volusia County, Florida",12127,4,0,2,0,0,0,0,8,42240,45037,2797,0.4639,7.8,70.7722944381987,15.4824468227068,449.2
"Georgia","Fulton County, Georgia",13121,0,0,5,0,0,0,0,10,58851,91704,32853,0.5417,8.9,79.465112598774,16.649143511715,1748
"Georgia","Rockdale County, Georgia",13247,1,0,0,0,0,0,0,1,51072,54107,3035,0.4152,10.3,77.1127696271068,15.4020453425333,656.5
"Idaho","Ada County, Idaho",16001,1,4,1,0,0,0,0,7,58099,59703,1604,0.4589,5.3,79.373310735354,16.3352660227523,372.8
"Idaho","Bannock County, Idaho",16005,4,0,0,0,0,0,0,4,45216,46799,1583,0.4526,7.1,75.504757106873,15.9246120582439,74.5
"Idaho","Benewah County, Idaho",16009,1,0,0,0,0,0,0,1,42600,42597,-3,0.421,10.2,69.9887766554433,15.0186549615927,12
"Idaho","Bingham County, Idaho",16011,0,0,1,0,0,0,0,2,49943,54384,4441,0.3939,6.6,76.243389190465,14.8867297177479,21.8
"Idaho","Canyon County, Idaho",16027,4,0,1,0,0,0,0,6,44860,46673,1813,0.4016,8.3,75.9929672901994,14.8671742051052,321.6
"Idaho","Elmore County, Idaho",16039,1,0,0,0,0,0,0,1,44444,46900,2456,0.4211,7.5,75.160833267701,15.017291613884,8.8
"Idaho","Kootenai County, Idaho",16055,3,2,0,0,0,0,0,5,50924,51060,136,0.4379,7.1,75.5651311961064,15.8290357852883,111.3
"Idaho","Latah County, Idaho",16057,0,0,1,0,0,0,0,2,42133,43910,1777,0.464,7.7,80.3749018207783,16.8819776714514,34.6
"Idaho","Payette County, Idaho",16075,0,1,0,0,0,0,0,1,45670,47245,1575,0.4429,8.2,72.8530013704888,15.0482106684673,55.6
"Idaho","Twin Falls County, Idaho",16083,2,0,0,0,0,0,0,2,45500,46754,1254,0.4251,4.4,78.377435233818,15.2437220167413,40.2
"Illinois","Champaign County, Illinois",17019,1,2,1,0,1,0,1,6,48899,55181,6282,0.5,5.4,81.5600016722583,16.7823611286853,201.8
"Illinois","Coles County, Illinois",17029,1,0,0,0,0,0,0,1,38800,40419,1619,0.5001,7.4,77.1515941911407,15.7077404317959,106
"Illinois","Cook County, Illinois",17031,34,9,14,0,0,3,3,71,56902,73572,16670,0.5048,9.7,79.7327236148537,15.6989154388545,5495.1
"Illinois","Crawford County, Illinois",17033,1,0,0,0,0,0,0,1,47364,47435,71,0.4552,6.7,66.9378703347441,15.3910582503403,44.7
"Illinois","DuPage County, Illinois",17043,2,0,0,0,0,0,0,2,81521,85867,4346,0.4563,6.1,83.3345473609517,16.5253002553302,2799.8
"Illinois","Effingham County, Illinois",17049,1,1,0,0,0,0,0,2,52977,53060,83,0.4401,4.9,80.9285722463934,15.475228330174,71.5
"Illinois","Kane County, Illinois",17089,3,0,0,0,0,0,0,3,71602,83734,12132,0.4417,6.9,81.4604239807526,15.3321047336699,990.8
"Illinois","Kankakee County, Illinois",17091,3,0,0,0,0,0,0,3,54697,60695,5998,0.4194,8.4,77.589881800057,15.164759631215,167.7
"Illinois","Lake County, Illinois",17097,1,0,0,0,0,0,0,1,79886,91296,11410,0.4844,7,82.3309302021539,16.2079955479687,1585.6
"Illinois","Madison County, Illinois",17119,1,0,0,0,0,0,0,1,54573,57848,3275,0.4396,8.2,78.1911186526601,15.7925636114316,376.3
"Illinois","Marion County, Illinois",17121,2,0,0,0,0,0,0,2,43427,44954,1527,0.428,9.1,76.4581520900817,15.1768118125659,68.9
"Illinois","McHenry County, Illinois",17111,4,0,0,0,0,0,0,4,79836,81843,2007,0.4004,6.5,83.8486637439193,15.9963452981893,511.9
"Illinois","McLean County, Illinois",17113,3,0,0,0,0,0,0,3,63420,66262,2842,0.4497,4.7,83.7295842015533,16.5254008001612,143.3
"Illinois","Peoria County, Illinois",17143,1,0,0,0,0,0,0,1,51632,57101,5469,0.4662,8.2,78.3178821500551,15.8786131821768,301.2
"Illinois","Sangamon County, Illinois",17167,3,0,0,0,0,0,0,3,56742,62095,5353,0.4565,7.5,80.6493193627754,16.0568063327018,227.4
"Illinois","Tazewell County, Illinois",17179,1,0,0,0,0,0,0,1,60178,60414,236,0.4164,5.1,79.7249957789284,15.7083342191985,208.6
"Illinois","Warren County, Illinois",17187,1,0,0,0,0,0,0,1,44067,45385,1318,0.4274,8.1,80.2362426567558,15.2009345794393,32.6
"Illinois","Whiteside County, Illinois",17195,0,0,1,0,0,0,0,2,49151,50058,907,0.4185,6.8,78.734785464855,15.1585396537842,85.5
"Illinois","Will County, Illinois",17197,5,1,3,0,0,0,0,12,77507,82918,5411,0.4097,6.8,81.6884048926267,15.8903473903701,809.6
"Illinois","Winnebago County, Illinois",17201,3,0,2,0,0,0,0,7,49468,54328,4860,0.449,10.5,78.8262175909856,15.3117955768511,575.2
"Indiana","Allen County, Indiana",18003,2,0,2,0,0,0,0,6,49574,54234,4660,0.4509,7,79.5011619896938,15.6285682701384,540.6
"Indiana","Brown County, Indiana",18013,0,0,1,0,0,0,0,2,56323,56831,508,0.4503,5.6,74.0681183341798,15.65179138322,48.9
"Indiana","Delaware County, Indiana",18035,1,0,0,0,0,0,0,1,39537,41029,1492,0.4583,9.4,74.800045846148,15.5441019144144,300.1
"Indiana","Dubois County, Indiana",18037,0,0,0,0,1,0,1,1,55154,57001,1847,0.4174,2.9,84.0813795633829,15.1128772494923,98
"Indiana","Hendricks County, Indiana",18063,0,1,0,0,0,0,0,1,73042,74256,1214,0.3723,5,82.7617792757673,16.0976325019486,357.4
"Indiana","Lake County, Indiana",18089,0,1,0,0,0,0,0,1,50905,61152,10247,0.4483,9.6,76.0062781293191,15.2156634391718,994.1
"Indiana","LaPorte County, Indiana",18091,2,0,1,0,0,0,0,4,48165,51301,3136,0.4392,8.8,69.7894087058626,15.1669456881448,186.3
"Indiana","Madison County, Indiana",18095,0,0,1,0,0,0,0,2,44795,46587,1792,0.4258,7.8,71.2957852935532,15.1554205451201,291.3
"Indiana","Marion County, Indiana",18097,20,3,5,0,0,0,0,33,43369,52196,8827,0.4826,9,78.97108511633,15.5038557113701,2279.6
"Indiana","Monroe County, Indiana",18105,7,0,2,0,0,0,0,11,43389,46365,2976,0.5117,6.6,79.730217354258,16.6948554010854,349.7
"Indiana","Porter County, Indiana",18127,1,0,0,0,0,0,0,1,64874,65565,691,0.4214,6.3,77.0493164994889,15.7113290820162,393
"Indiana","St. Joseph County, Indiana",18141,10,0,0,0,0,0,0,10,46174,51198,5024,0.4645,7.5,78.7680964194468,15.6368559153427,583
"Iowa","Boone County, Iowa",19015,1,0,0,0,0,0,0,1,54513,54263,-250,0.4066,4.3,83.3484822327723,15.7344396082699,46
"Iowa","Clinton County, Iowa",19045,0,1,0,0,0,0,0,1,50067,51639,1572,0.4341,4.6,79.7803561148121,15.449629965262,70.7
"Iowa","Dubuque County, Iowa",19061,1,0,0,0,0,0,0,1,56154,57875,1721,0.4346,4,85.1876012949255,15.7786741986829,154
"Iowa","Jasper County, Iowa",19099,1,0,0,0,0,0,0,1,55503,56185,682,0.4019,4.9,76.7818921456139,15.3486775769798,50.4
"Iowa","Johnson County, Iowa",19103,4,0,0,0,0,0,0,4,56808,62402,5594,0.4904,3.2,85.0192831975972,17.1065955068335,213.1
