"State","Geography","county_fips","Race","Religion","Sexual_Orientation","Disability","Gender","Gender_Identity","Gender_both","Total","Median_Income","White_Income","White_Diff","Gini","Unemployment","LFPR","AvgYears","Density"
"Louisiana","Avoyelles Parish, Louisiana",22009,1,0,0,0,0,0,0,1,34985,40088,5103,0.492,8.5,60.4388664343786,14.0543637861261,50.5
"Louisiana","Bossier Parish, Louisiana",22015,1,0,1,0,0,0,0,3,51894,59451,7557,0.4443,5.7,78.0033184790432,15.5935735943008,139.3
"Louisiana","Caddo Parish, Louisiana",22017,0,1,0,0,0,0,0,1,40815,56606,15791,0.5147,7.1,71.7294915488417,15.3608532443544,290.2
"Louisiana","Calcasieu Parish, Louisiana",22019,1,0,0,0,0,0,0,1,46457,52802,6345,0.4653,7.4,74.081036221737,15.1449357330462,181.2
"Louisiana","East Baton Rouge Parish, Louisiana",22033,2,0,1,0,0,0,0,4,49942,68162,18220,0.5004,7,79.109260467111,15.9612473085921,966.6
"Louisiana","Lafourche Parish, Louisiana",22057,1,0,0,0,0,0,0,1,52071,56644,4573,0.4414,7.3,72.7614367315326,14.2074256284111,90.2
"Louisiana","Madison Parish, Louisiana",22065,1,0,0,0,0,0,0,1,25404,40000,14596,0.5008,14.1,58.5196122416279,14.2674058793192,19.4
"Louisiana","Orleans Parish, Louisiana",22071,3,2,1,0,0,0,0,7,37488,66530,29042,0.5702,9.8,74.13743779274,15.907209069036,2029.4
"Louisiana","St. Charles Parish, Louisiana",22089,6,0,0,0,0,0,0,6,61691,76037,14346,0.428,8.2,78.2322068148561,15.2155823200599,189.1
"Louisiana","St. John the Baptist Parish, Louisiana",22095,4,0,1,0,0,0,0,6,51406,59769,8363,0.4243,8.2,75.3688147988815,14.7861600139446,215.5
"Maine","Androscoggin County, Maine",23001,2,0,0,0,0,0,0,2,48728,49773,1045,0.4338,5.8,80.5177011735488,15.3528048090142,230.2
"Maine","Cumberland County, Maine",23005,7,6,3,0,0,0,0,19,61902,63683,1781,0.4638,4.6,82.4143599510614,16.5538674033149,337.2
"Maine","Franklin County, Maine",23007,0,0,1,0,0,0,0,2,43007,43316,309,0.4346,6.9,76.2805087460755,15.6752963049036,18.1
"Maine","Kennebec County, Maine",23011,1,1,1,0,0,0,0,4,48570,48897,327,0.4335,7,75.5910746588993,15.6436387637652,140.8
"Maine","Penobscot County, Maine",23019,1,0,0,0,0,0,0,1,45302,45678,376,0.4484,7.3,75.0332668758846,15.6438897546139,45.3
"Maine","York County, Maine",23031,5,3,1,0,0,0,0,10,59132,59492,360,0.4322,5.1,80.8853731070138,15.878172239248,199
"Maryland","Baltimore city, Maryland",24510,1,0,2,0,0,0,0,5,44262,67919,23657,0.5156,11.4,73.9743677934821,15.4967217271178,7671.5
"Maryland","Harford County, Maryland",24025,4,0,0,0,0,0,0,4,81052,83948,2896,0.4065,6,82.5166662957275,16.0769833107382,560.1
"Maryland","Prince George's County, Maryland",24033,1,0,1,0,0,0,0,3,75925,86690,10765,0.3951,8,85.003264724184,15.4637965495037,1788.8
"Massachusetts","Barnstable County, Massachusetts",25001,2,0,4,1,0,0,0,11,65382,66038,656,0.4604,6.3,81.1072837719465,16.5327318289657,548.3
"Massachusetts","Berkshire County, Massachusetts",25003,2,0,1,0,0,0,0,4,52253,53716,1463,0.4656,8.2,80.3899376777395,15.9188531823759,141.6
"Massachusetts","Bristol County, Massachusetts",25005,4,0,1,0,1,0,1,7,59343,63154,3811,0.4539,8.1,79.896499525051,15.0840765359811,991.3
"Massachusetts","Dukes County, Massachusetts",25007,0,0,0,0,1,0,1,1,63534,71196,7662,0.5239,4.3,79.5038682414129,16.4112054062549,160.2
"Massachusetts","Essex County, Massachusetts",25009,19,12,9,1,0,1,1,50,70886,78848,7962,0.4783,7,81.7299003623855,15.9066550901791,1508.8
"Massachusetts","Franklin County, Massachusetts",25011,0,0,0,1,1,0,1,2,56347,57271,924,0.4438,6.1,80.4902922201138,16.2667162811999,102.1
"Massachusetts","Hampden County, Massachusetts",25013,8,0,4,0,0,0,0,16,51005,62049,11044,0.4655,8.8,76.8384279693981,15.3131642240965,751
"Massachusetts","Hampshire County, Massachusetts",25015,2,1,1,0,0,0,0,5,62608,64403,1795,0.464,7.1,82.189485317758,16.7713725370647,299.8
"Massachusetts","Middlesex County, Massachusetts",25017,58,36,13,3,1,5,6,124,89019,93565,4546,0.471,5.4,83.8270791572825,16.8534114113564,1837.9
"Massachusetts","Norfolk County, Massachusetts",25021,14,2,3,0,3,0,3,25,90226,93178,2952,0.4806,6.3,83.6123990099222,16.8157870704756,1693.6
"Massachusetts","Plymouth County, Massachusetts",25023,1,0,0,0,0,0,0,1,77627,82175,4548,0.4445,6.9,82.3658913478168,16.0093566178578,750.9
"Massachusetts","Suffolk County, Massachusetts",25025,75,17,28,1,0,9,9,149,57439,78476,21037,0.5327,7.9,81.4497904967307,15.7649283107778,12415.6
"Massachusetts","Worcester County, Massachusetts",25027,7,3,1,1,0,1,1,13,67005,71970,4965,0.4516,6.7,80.9593043986422,15.9078013799589,528.6
"Michigan","Allegan County, Michigan",26005,0,0,1,0,0,0,0,2,55630,56565,935,0.4129,4.7,77.0124174506393,15.3383403553764,135
"Michigan","Barry County, Michigan",26015,3,0,0,0,0,0,0,3,56883,57322,439,0.3846,6.2,78.7089762969157,15.4156134551818,107
"Michigan","Benzie County, Michigan",26019,1,0,0,0,0,0,0,1,48694,49112,418,0.4007,7.6,77.3936869545506,15.7364132523637,54.8
"Michigan","Berrien County, Michigan",26021,2,1,0,0,0,0,0,3,45980,51462,5482,0.472,7.8,75.5924456487491,15.6473868900014,276.2
"Michigan","Branch County, Michigan",26023,1,0,0,0,0,0,0,1,46428,46411,-17,0.4089,5.5,71.3500442321302,14.9534160452129,89.4
"Michigan","Calhoun County, Michigan",26025,6,1,1,0,0,0,0,9,44681,47799,3118,0.4402,8.5,73.3564353709956,15.3986966173594,192.8
"Michigan","Clare County, Michigan",26035,1,0,0,0,0,0,0,1,34911,35263,352,0.4471,12.5,62.955496168459,14.7622947131609,54.8
"Michigan","Delta County, Michigan",26041,1,0,0,0,1,0,1,2,42353,43211,858,0.4387,7.5,74.1443660843084,15.5324145742873,31.7
"Michigan","Eaton County, Michigan",26045,2,0,0,0,0,0,0,2,56472,57993,1521,0.4065,6.7,79.0869643199192,15.8246282070058,187.4
"Michigan","Emmet County, Michigan",26047,1,0,0,0,0,0,0,1,51096,51564,468,0.47,7.5,79.1252018822982,16.1894763470782,69.9
"Michigan","Genesee County, Michigan",26049,17,1,2,0,0,0,0,22,43246,48706,5460,0.4581,12,70.4359232376296,15.4623152028325,668.5
"Michigan","Grand Traverse County, Michigan",26055,4,3,0,0,0,0,0,7,55597,56506,909,0.4477,5.8,79.131158714703,16.1528097526305,187.3
"Michigan","Gratiot County, Michigan",26057,2,0,0,0,0,0,0,2,42145,43423,1278,0.4532,8,62.1526475108275,15.0404458598726,74.7
"Michigan","Hillsdale County, Michigan",26059,1,0,0,0,0,0,0,1,44458,44916,458,0.4363,7.6,71.7833311713581,15.0984562167702,78.1
"Michigan","Houghton County, Michigan",26061,2,0,0,0,0,0,0,2,39080,40321,1241,0.4589,7.4,71.3540589219092,15.917125524965,36.3
"Michigan","Huron County, Michigan",26063,1,0,0,0,0,0,0,1,43082,43216,134,0.4295,6.6,75.9700018737118,14.980608122475,39.6
"Michigan","Ingham County, Michigan",26065,7,2,0,0,0,0,0,9,46842,51074,4232,0.4794,8.9,77.5021075565402,16.3682908338671,505.1
"Michigan","Ionia County, Michigan",26067,1,0,0,0,0,0,0,1,50037,49933,-104,0.3949,8.2,69.1626514672946,15.0880667375329,111.9
"Michigan","Isabella County, Michigan",26073,1,0,0,0,0,0,0,1,40706,41196,490,0.4904,9.9,76.7314421521036,15.8692595562684,122.8
"Michigan","Jackson County, Michigan",26075,3,0,0,0,0,0,0,3,47709,49917,2208,0.4415,8.9,69.8734322079219,15.4451060254607,228.4
"Michigan","Kalamazoo County, Michigan",26077,5,0,0,0,0,0,0,5,49693,53667,3974,0.467,7.3,78.9393121236804,16.3229311733811,445.7
"Michigan","Kent County, Michigan",26081,3,2,1,0,0,0,0,7,54673,60327,5654,0.4596,6.3,80.3954957589057,15.8249082850591,711.5
"Michigan","Lapeer County, Michigan",26087,3,0,2,0,0,0,0,7,54174,54751,577,0.3992,9.2,71.6564283005352,15.2973909365952,137.4
"Michigan","Livingston County, Michigan",26093,0,0,0,1,1,0,1,2,76764,76560,-204,0.3952,5.5,80.0569089861522,16.2290142562371,320.2
"Michigan","Luce County, Michigan",26095,0,0,0,1,0,0,0,1,38167,39552,1385,0.406,13.4,52.6575791227096,14.9829129373474,7.4
"Michigan","Mackinac County, Michigan",26097,0,0,1,0,0,0,0,2,40747,42308,1561,0.4314,11.2,73.6656277986745,15.357874672385,10.9
"Michigan","Macomb County, Michigan",26099,14,1,0,2,0,0,0,17,55951,58257,2306,0.4253,7.5,78.1897851084371,15.4607935453981,1754.9
"Michigan","Marquette County, Michigan",26103,3,0,0,0,0,0,0,3,46822,47332,510,0.4416,7.2,71.0175078440161,15.9467010193794,37.1
"Michigan","Mason County, Michigan",26105,4,0,0,0,0,0,0,4,43497,43811,314,0.4469,9.8,76.3562155457552,15.5139482892691,58
"Michigan","Mecosta County, Michigan",26107,3,0,0,0,0,0,0,3,41827,42503,676,0.4476,10.7,72.0457861373792,15.3875462578355,77.1
"Michigan","Menominee County, Michigan",26109,3,0,0,0,0,0,0,3,41235,41575,340,0.4408,7.1,74.2982973149967,15.1972620147874,23
"Michigan","Monroe County, Michigan",26115,5,0,0,0,0,0,0,5,56968,57733,765,0.414,7,74.9262114592435,15.3687729114412,276.7
"Michigan","Montcalm County, Michigan",26117,1,0,1,0,0,0,0,3,43126,43583,457,0.4095,8.6,67.6930747005357,14.9655578655579,89.8
"Michigan","Muskegon County, Michigan",26121,4,1,1,0,0,0,0,7,43920,47952,4032,0.4321,10.4,71.5970818180807,15.3164553686934,344.9
"Michigan","Newaygo County, Michigan",26123,3,0,0,0,0,0,0,3,44049,44873,824,0.4315,8.9,69.0796303082122,14.8472612890542,59.6
"Michigan","Oakland County, Michigan",26125,22,4,4,0,0,0,0,34,69850,73422,3572,0.4683,6.3,80.1673548109838,16.606289579986,1385.7
"Michigan","Oceana County, Michigan",26127,2,0,1,0,0,0,0,4,41952,42996,1044,0.4186,8.3,70.1625155957579,15.0456892680736,51.9
"Michigan","Osceola County, Michigan",26133,1,0,0,0,0,0,0,1,39247,39510,263,0.4308,8.8,66.6006709677419,14.9034456881996,41.5
"Michigan","Otsego County, Michigan",26137,1,0,0,0,0,0,0,1,50793,50658,-135,0.4226,6.8,76.4086086248983,15.4181453752284,46.9
"Michigan","Saginaw County, Michigan",26145,6,2,1,0,0,0,0,10,43712,50441,6729,0.4563,9.5,71.4442778890029,15.3313796110248,250.2
"Michigan","St. Clair County, Michigan",26147,0,0,3,0,0,0,0,6,50930,51676,746,0.431,9.1,74.4565786533372,15.2974705645342,226.1
"Michigan","St. Joseph County, Michigan",26149,1,0,0,0,0,0,0,1,45410,46789,1379,0.4138,6.6,76.1075272324049,14.8909251924922,122.4
"Michigan","Sanilac County, Michigan",26151,1,0,0,0,0,0,0,1,42037,42225,188,0.4246,9.2,73.037765907157,14.9358562743357,44.8
"Michigan","Shiawassee County, Michigan",26155,1,0,0,0,0,0,0,1,48470,48793,323,0.4079,8.8,73.5710252518283,15.3554367726594,133.1
"Michigan","Tuscola County, Michigan",26157,2,1,1,0,1,0,1,6,44193,44433,240,0.4036,8.4,71.791689407095,15.0239481691323,69.4
"Michigan","Van Buren County, Michigan",26159,3,0,1,0,0,0,0,5,47141,50212,3071,0.4432,7.6,73.0899832797428,15.1664996758413,125.5
"Michigan","Washtenaw County, Michigan",26161,3,1,0,0,0,0,0,4,62484,69249,6765,0.4796,6.3,78.971253791822,17.2392055969307,488.4
"Michigan","Wayne County, Michigan",26163,58,13,21,2,0,0,0,115,42043,56082,14039,0.4955,13,71.0473668894147,15.2738307790014,2974.4
"Michigan","Wexford County, Michigan",26165,1,0,0,0,0,0,0,1,40417,40348,-69,0.4331,8.2,71.3403256364713,15.1537273248886,57.9
"Minnesota","Anoka County, Minnesota",27003,3,0,0,0,0,0,0,3,73579,76132,2553,0.3916,4.9,85.3781371178348,15.886867043878,782.1
"Minnesota","Blue Earth County, Minnesota",27013,3,0,2,0,0,0,0,7,52119,53573,1454,0.4533,4.9,86.4716953682715,16.1263210605382,85.6
"Minnesota","Carver County, Minnesota",27019,1,0,0,0,0,0,0,1,88638,89304,666,0.4313,3,87.5087450021791,16.6173725082059,256.9
"Minnesota","Clay County, Minnesota",27027,0,0,1,0,0,0,0,2,59614,61951,2337,0.4143,3.1,86.856018328546,16.1155666116865,56.4
"Minnesota","Crow Wing County, Minnesota",27035,1,0,0,0,0,0,0,1,50893,51227,334,0.4539,4.3,78.9849390919158,15.8340308394691,62.6
"Minnesota","Dakota County, Minnesota",27037,10,0,1,0,0,0,0,12,77321,81560,4239,0.4117,4.4,86.8136608093717,16.4439428496717,709
"Minnesota","Hennepin County, Minnesota",27053,40,21,7,0,0,0,0,75,67989,76525,8536,0.4854,5.1,84.575837607642,16.5486027944112,2081.7
"Minnesota","Mille Lacs County, Minnesota",27095,1,0,0,0,0,0,0,1,51232,52025,793,0.4036,6.4,79.3302947014811,15.2451914941621,45.6
"Minnesota","Morrison County, Minnesota",27097,1,0,0,0,0,0,0,1,51456,51700,244,0.4352,4.5,83.7942514474773,15.1872657524582,29.5
"Minnesota","Ramsey County, Minnesota",27123,10,3,3,0,0,0,0,19,57717,65811,8094,0.4603,6.5,82.2336455485304,16.030481148951,3341.6
"Minnesota","Scott County, Minnesota",27139,0,1,0,0,0,0,0,1,90198,92448,2250,0.3936,4,87.5573834452137,16.3030765775881,364.5
"Minnesota","Stearns County, Minnesota",27145,3,2,1,0,0,0,0,7,56977,59511,2534,0.4294,4.8,85.7337397604693,15.7212328477046,112.2
"Minnesota","Washington County, Minnesota",27163,3,1,0,0,0,0,0,4,86689,87093,404,0.4127,4,84.1573859874886,16.5806125883541,619.7
"Minnesota","Wright County, Minnesota",27171,1,0,0,0,0,0,0,1,75705,76483,778,0.3746,4.4,87.4725525315626,15.9171564915317,188.5
"Mississippi","DeSoto County, Mississippi",28033,3,1,1,0,0,0,0,6,60111,64710,4599,0.4002,6.7,82.4352327084323,15.558233186129,338.7
"Mississippi","Harrison County, Mississippi",28047,0,0,1,0,0,0,0,2,43095,49599,6504,0.4467,9.6,74.7324630399072,15.3721983455797,326
"Mississippi","Stone County, Mississippi",28131,1,0,0,0,0,0,0,1,44995,51398,6403,0.4172,8.4,65.8192960135708,14.9001175088132,39.9
"Missouri","Boone County, Missouri",29019,5,0,2,0,0,0,0,9,50813,53642,2829,0.4841,4.6,82.2730948789772,16.7541209331602,237.3
"Missouri","Buchanan County, Missouri",29021,0,0,1,0,0,0,0,2,46680,47824,1144,0.4395,6.5,74.3967455494694,15.1761470956958,218.6
"Missouri","Clay County, Missouri",29047,2,0,0,0,0,0,0,2,63702,65741,2039,0.4062,5.2,82.6283485220699,15.9217469377285,558.6
"Missouri","Clinton County, Missouri",29049,1,0,0,0,0,0,0,1,57486,57711,225,0.3818,5,78.3707497160167,15.40059748204,49.5
"Missouri","Greene County, Missouri",29077,1,0,0,0,0,0,0,1,41908,42985,1077,0.4598,5.8,76.1747846377261,15.8838774024854,407.5
"Missouri","Jackson County, Missouri",29095,36,6,5,0,1,0,1,53,48104,57098,8994,0.4703,6.7,79.106844549463,15.7313712421205,1115.3
"Missouri","Lawrence County, Missouri",29109,1,0,0,0,0,0,0,1,40505,40660,155,0.4246,7,72.9528145169823,14.9091407964879,63.2
"Missouri","Phelps County, Missouri",29161,2,0,0,0,0,0,0,2,41603,43033,1430,0.4751,6.2,72.8651547466705,15.5065154787617,67.2
"Missouri","Polk County, Missouri",29167,0,1,0,0,0,0,0,1,42483,43052,569,0.4207,8.9,72.8393968804159,15.261627317864,49
"Missouri","St. Charles County, Missouri",29183,2,2,1,0,0,0,0,6,75603,76458,855,0.393,4.2,84.5152424295982,16.2565708661417,643.2
"Missouri","St. Louis County, Missouri",29189,3,1,1,0,0,0,0,6,61103,70396,9293,0.4862,6.7,81.8702262765483,16.5110419042521,1967.2
"Missouri","St. Louis city, Missouri",29510,8,1,0,0,0,0,0,9,36809,52918,16109,0.5186,10.6,75.836608679448,15.7801853902254,5157.5
"Missouri","Taney County, Missouri",29213,1,0,0,0,0,0,0,1,38040,38452,412,0.4313,7.5,74.0518390978582,15.3013554379523,81.7
"Montana","Big Horn County, Montana",30003,2,0,2,0,0,0,0,6,44136,55900,11764,0.4331,16.8,74.9085869386412,15.2516916545044,2.6
"Montana","Broadwater County, Montana",30007,1,0,0,0,0,0,0,1,50946,50654,-292,0.4234,5.6,70.9385695187166,15.689497716895,4.7
"Montana","Flathead County, Montana",30029,0,0,1,0,1,0,1,3,48407,48965,558,0.4579,6.5,76.9456053034978,16.0321355359942,17.9
"Montana","Hill County, Montana",30041,1,0,0,0,0,0,0,1,42979,46613,3634,0.4372,5.3,72.3312695044314,15.6534989808794,5.6
"Montana","Lewis and Clark County, Montana",30049,3,3,0,0,0,0,0,6,59170,61466,2296,0.4072,4.1,81.1907391721723,16.347057929807,18.3
"Montana","Pondera County, Montana",30073,1,0,0,0,0,0,0,1,42193,44089,1896,0.4325,8.5,79.095640509725,15.4101096804959,3.8
"Montana","Richland County, Montana",30083,0,1,0,0,0,0,0,1,65638,66670,1032,0.4587,2.5,81.0172544495715,15.4671330517423,4.7
"Montana","Yellowstone County, Montana",30111,2,1,1,0,0,0,0,5,55032,56837,1805,0.4523,3.7,81.7186211537285,15.8781143251862,56.2
"Nebraska","Buffalo County, Nebraska",31019,1,0,0,0,0,0,0,1,54098,56110,2012,0.434,3.3,87.3140723100238,16.1064794301101,47.6
"Nebraska","Douglas County, Nebraska",31055,4,1,0,0,0,0,0,5,56003,64315,8312,0.4659,4.9,82.4578884873158,15.9231736351509,1574.4
"Nebraska","Hall County, Nebraska",31079,2,0,0,0,0,0,0,2,51355,54428,3073,0.4273,5.3,84.6068973433913,14.865383140293,107.3
"Nebraska","Lancaster County, Nebraska",31109,13,3,2,0,1,0,1,21,53730,57086,3356,0.4476,4.4,84.6988453768246,16.3035028649064,340.8
"Nebraska","Madison County, Nebraska",31119,1,0,0,0,0,0,0,1,48673,50502,1829,0.4189,3.1,85.9633346776517,15.2987965565706,60.9
"Nebraska","Saline County, Nebraska",31151,2,0,0,0,0,0,0,2,49332,54743,5411,0.3926,3.4,80.5865851840811,14.5312143996355,24.7
"Nebraska","Sarpy County, Nebraska",31153,0,0,1,0,0,0,0,2,72269,74480,2211,0.3813,3.7,86.0478552733883,16.3848865388852,664.6
"Nevada","Clark County, Nevada",32003,12,2,1,0,0,0,0,16,52629,59210,6581,0.4522,9.6,77.8007929102807,15.1533226028972,247.3
"Nevada","Washoe County, Nevada",32031,0,1,0,0,0,0,0,1,54955,59565,4610,0.4676,8,79.259071293601,15.5808101917643,66.9
"New Hampshire","Belknap County, New Hampshire",33001,2,1,0,1,0,0,0,4,61245,61443,198,0.4388,5.1,80.6945915128355,15.9278455284553,150.1
"New Hampshire","Cheshire County, New Hampshire",33005,2,2,0,0,0,0,0,4,58359,58700,341,0.449,5,82.7181737386049,15.9394447195034,109.1
"New Hampshire","Hillsborough County, New Hampshire",33011,1,1,1,0,0,0,0,4,73189,75057,1868,0.4262,5.2,83.0259988434678,16.0660519650531,457.4
"New Hampshire","Merrimack County, New Hampshire",33013,2,0,2,0,0,0,0,6,67181,67255,74,0.4197,4.8,80.1135851648352,16.2303282558218,156.8
"New Hampshire","Rockingham County, New Hampshire",33015,4,1,0,0,0,0,0,5,82398,82993,595,0.4173,4.9,85.9543910820353,16.4099388123268,425
"New Hampshire","Strafford County, New Hampshire",33017,2,1,1,1,0,0,0,6,63533,64458,925,0.4243,5.5,81.3594007279999,16.1344009855251,333.7
"New Hampshire","Sullivan County, New Hampshire",33019,1,0,0,0,0,0,0,1,58454,58631,177,0.4159,4.5,78.7330085886425,15.6678117048346,81.4
"New Jersey","Atlantic County, New Jersey",34001,3,4,0,0,0,0,0,7,55456,66708,11252,0.4556,11.8,80.62716784311,15.2368412622137,494.1
"New Jersey","Bergen County, New Jersey",34003,4,10,2,0,0,0,0,18,88487,94592,6105,0.4793,5.8,81.7526334269663,16.3601844438287,3884.5
"New Jersey","Camden County, New Jersey",34007,1,2,0,0,0,0,0,3,63028,74064,11036,0.466,8.8,80.0078681591133,15.5499734949756,2321.5
"New Jersey","Cape May County, New Jersey",34009,1,0,0,0,0,0,0,1,59338,61659,2321,0.4646,9.2,77.7214108233312,15.6148919818974,386.9
"New Jersey","Cumberland County, New Jersey",34011,2,2,0,0,0,0,0,4,49537,57393,7856,0.4491,9.9,66.2392936856505,14.2485669868096,324.4
"New Jersey","Essex County, New Jersey",34013,6,4,4,0,0,0,0,18,54860,93996,39136,0.5478,12.1,79.874747439389,15.4445093890254,6211.5
"New Jersey","Gloucester County, New Jersey",34015,12,1,1,0,0,0,0,15,78592,81677,3085,0.4124,8.1,81.9374985613627,15.7559648536751,895.3
"New Jersey","Hudson County, New Jersey",34017,7,2,2,0,0,0,0,13,60894,81481,20587,0.5002,8.1,81.4838339640788,15.4395991039293,13731.4
"New Jersey","Mercer County, New Jersey",34021,2,2,1,0,0,0,0,6,73966,91008,17042,0.4948,8.6,79.5383120576019,16.0760976121414,1632.2
"New Jersey","Middlesex County, New Jersey",34023,8,6,2,0,0,0,0,18,80716,79924,-792,0.4308,7,80.5571752938873,15.989300320002,2621.6
"New Jersey","Monmouth County, New Jersey",34025,11,2,1,1,0,0,0,16,87297,94070,6773,0.4692,6.8,81.0314632024865,16.3603718757472,1344.7
"New Jersey","Morris County, New Jersey",34027,1,1,0,0,0,0,0,2,102798,105285,2487,0.4561,5.6,84.3443646339109,16.7304960238396,1069.8
"New Jersey","Ocean County, New Jersey",34029,0,1,0,0,0,0,0,1,63108,63494,386,0.4409,7.6,78.3498944742205,15.5900947037169,917
"New Jersey","Passaic County, New Jersey",34031,3,0,0,0,0,0,0,3,61664,84798,23134,0.4766,7,77.3009547670639,14.9079895061766,2715.3
"New Jersey","Somerset County, New Jersey",34035,0,0,1,0,0,0,0,2,102405,105990,3585,0.4577,5.4,83.8873055984354,16.8585772485662,1071.7
"New Jersey","Sussex County, New Jersey",34037,0,1,0,0,0,0,0,1,87388,87833,445,0.4076,7.2,82.3105918614373,16.0109111338906,287.6
"New Jersey","Union County, New Jersey",34039,0,1,0,0,0,0,0,1,70476,94108,23632,0.4951,8.5,82.252542162823,15.4017498322134,5216.1
"New Jersey","Warren County, New Jersey",34041,1,0,0,0,0,0,0,1,72999,74220,1221,0.415,8.3,81.709580372426,15.6411687722016,304.5
"New Mexico","Bernalillo County, New Mexico",35001,7,9,9,0,0,0,0,34,48994,58817,9823,0.4721,7.3,75.7098316183869,15.8571428571429,570.8
"New Mexico","Valencia County, New Mexico",35061,1,0,0,0,0,0,0,1,41788,49723,7935,0.4402,10.7,64.1865243461181,14.8829920352752,71.8
"New York","Albany County, New York",36001,2,0,0,0,0,0,0,2,60904,67244,6340,0.461,5.8,80.9180183504918,16.414954682039,581.9
"New York","Broome County, New York",36007,1,0,0,0,0,0,0,1,47744,50207,2463,0.4558,7.4,75.8052376728411,15.8153397121123,284.2
"New York","Cayuga County, New York",36011,0,1,0,0,0,0,0,1,53114,53770,656,0.4157,6.9,74.2312752315365,15.485594627771,115.7
"New York","Chemung County, New York",36015,1,0,0,0,0,0,0,1,49578,51101,1523,0.4519,5.6,71.011023725546,15.6779840673082,218.1
"New York","Chenango County, New York",36017,2,0,0,0,0,0,0,2,46979,46967,-12,0.4193,7,72.1460501493476,15.1926975351302,56.5
"New York","Erie County, New York",36029,5,0,1,0,0,1,1,7,52744,59945,7201,0.4635,6.1,77.7922086271342,16.0025227343995,881.4
"New York","Monroe County, New York",36055,2,1,1,0,0,0,0,5,53568,61445,7877,0.4634,7.3,79.6449021642985,16.1640909476241,1132.6
"New York","Nassau County, New York",36059,7,45,1,0,0,0,0,54,102044,107838,5794,0.4544,5.8,81.8715359144883,16.2504458339797,4704.8
"New York","New York County, New York",36061,74,183,79,1,5,19,24,421,75513,110960,35447,0.5967,6.9,81.2617501503814,16.7509904066101,69468.4
"New York","Niagara County, New York",36063,2,0,1,0,0,0,0,4,50094,53418,3324,0.4374,7.1,76.670919177309,15.6159181527115,414.4
"New York","Oneida County, New York",36065,0,0,1,0,0,0,0,2,49838,52413,2575,0.4577,6.9,73.7737802681944,15.3942830705363,193.7
"New York","Orange County, New York",36071,0,1,0,0,0,0,0,1,71910,77165,5255,0.4387,6.7,77.791044947996,15.7070824098328,459.3
"New York","Oswego County, New York",36075,1,0,0,0,0,0,0,1,49571,49910,339,0.4213,9.1,72.6617351801258,15.2088609963942,128.3
"New York","Saratoga County, New York",36091,0,2,0,0,0,0,0,2,74080,73344,-736,0.415,5.4,81.9546342854814,16.4487361814286,271.1
"New York","Schenectady County, New York",36093,0,1,0,0,0,0,0,1,59959,65176,5217,0.4359,7.4,78.4709342560554,15.8337227707847,756.6
"New York","Schoharie County, New York",36095,0,1,0,0,0,0,0,1,50607,50164,-443,0.4168,10.1,74.9055164753795,15.3099518750568,52.7
"New York","Westchester County, New York",36119,3,6,2,0,0,0,0,13,86226,107484,21258,0.5382,7.1,81.1338997584517,16.2816479480041,2204.7
"North Carolina","Buncombe County, North Carolina",37021,1,0,2,0,0,0,0,5,46902,49724,2822,0.4655,6,76.6710477981692,16.061296677464,362.9
"North Carolina","Burke County, North Carolina",37023,4,0,0,0,0,0,0,4,39759,41663,1904,0.4444,10.8,70.6301197120096,14.6782984380193,179.3
"North Carolina","Cabarrus County, North Carolina",37025,0,1,0,0,0,0,0,1,58970,63028,4058,0.4236,7.9,80.8580425930808,15.6740527365389,492.1
"North Carolina","Catawba County, North Carolina",37035,1,0,0,0,0,0,0,1,45450,49493,4043,0.4526,7.9,76.8674040936389,15.1136152699523,387.1
"North Carolina","Chatham County, North Carolina",37037,1,0,0,0,0,0,0,1,58555,66985,8430,0.49,7.8,77.1220212175234,16.0619281917521,93.1
"North Carolina","Cumberland County, North Carolina",37051,7,0,0,0,0,0,0,7,44810,50678,5868,0.4377,11.4,75.3761979088197,15.6840664118989,489.7
"North Carolina","Durham County, North Carolina",37063,2,1,0,0,0,0,0,3,54093,70494,16401,0.479,6.3,80.4723782365964,16.3820864469895,935.7
"North Carolina","Edgecombe County, North Carolina",37065,1,0,0,0,0,0,0,1,32298,39861,7563,0.46,12.5,71.3336491695788,14.3651633810424,111.9
"North Carolina","Forsyth County, North Carolina",37067,6,0,0,0,0,0,0,6,46283,57273,10990,0.496,8.4,77.979709740441,15.782727471557,859.2
"North Carolina","Franklin County, North Carolina",37069,4,0,0,0,0,0,0,4,44272,52294,8022,0.4292,8.2,73.8844511922836,15.1124449594438,123.3
"North Carolina","Gaston County, North Carolina",37071,3,0,0,0,0,0,0,3,44288,47719,3431,0.4616,9.7,74.9697824663256,15.0617359835352,578.8
"North Carolina","Guilford County, North Carolina",37081,6,4,1,0,0,0,0,12,46896,59624,12728,0.4859,7.6,78.8482253734784,15.8350604795926,756.4
"North Carolina","Halifax County, North Carolina",37083,5,0,0,0,0,0,0,5,32549,43517,10968,0.4971,11.6,65.3939899833055,14.3745783001415,75.5
"North Carolina","Iredell County, North Carolina",37097,2,0,0,0,0,0,0,2,53937,57416,3479,0.4675,8.6,78.0067156736404,15.5063904376855,277.8
"North Carolina","Jackson County, North Carolina",37099,1,1,0,0,0,0,0,2,40278,42143,1865,0.4626,5.1,72.0552925155816,15.7260185466707,82.1
