GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",73469,7693
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",84748,3110
0500000US02275,2275,"Wrangell City and Borough, Alaska",58024,4988
0500000US02282,2282,"Yakutat City and Borough, Alaska",73500,5664
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",68182,8800
0500000US04001,4001,"Apache County, Arizona",51319,3239
0500000US04003,4003,"Cochise County, Arizona",48767,1719
0500000US04005,4005,"Coconino County, Arizona",58429,2272
0500000US04007,4007,"Gila County, Arizona",41986,1414
0500000US04009,4009,"Graham County, Arizona",50611,2432
0500000US04011,4011,"Greenlee County, Arizona",54333,6248
0500000US04012,4012,"La Paz County, Arizona",38887,6612
0500000US04013,4013,"Maricopa County, Arizona",62511,476
0500000US04015,4015,"Mohave County, Arizona",40426,941
0500000US04017,4017,"Navajo County, Arizona",47302,2569
0500000US04019,4019,"Pima County, Arizona",52905,814
0500000US04021,4021,"Pinal County, Arizona",54108,1089
0500000US04023,4023,"Santa Cruz County, Arizona",47841,6315
0500000US04025,4025,"Yavapai County, Arizona",47431,1139
0500000US04027,4027,"Yuma County, Arizona",48347,2166
0500000US05001,5001,"Arkansas County, Arkansas",44621,3009
0500000US05003,5003,"Ashley County, Arkansas",47139,4812
0500000US05005,5005,"Baxter County, Arkansas",38026,1778
0500000US05007,5007,"Benton County, Arkansas",60743,1378
0500000US05009,5009,"Boone County, Arkansas",38819,1848
0500000US05011,5011,"Bradley County, Arkansas",50252,8711
0500000US05013,5013,"Calhoun County, Arkansas",43621,5936
0500000US05015,5015,"Carroll County, Arkansas",39658,3217
0500000US05017,5017,"Chicot County, Arkansas",44500,8046
0500000US05019,5019,"Clark County, Arkansas",40546,3308
0500000US05021,5021,"Clay County, Arkansas",32321,2470
0500000US05023,5023,"Cleburne County, Arkansas",42238,3478
0500000US05025,5025,"Cleveland County, Arkansas",45054,3911
0500000US05027,5027,"Columbia County, Arkansas",48540,5050
0500000US05029,5029,"Conway County, Arkansas",43357,4546
0500000US05031,5031,"Craighead County, Arkansas",47222,1598
0500000US05033,5033,"Crawford County, Arkansas",42480,2296
0500000US05035,5035,"Crittenden County, Arkansas",57113,3011
0500000US05037,5037,"Cross County, Arkansas",42023,2680
0500000US05039,5039,"Dallas County, Arkansas",39330,4888
0500000US05041,5041,"Desha County, Arkansas",42628,3368
0500000US05043,5043,"Drew County, Arkansas",43623,5598
0500000US05045,5045,"Faulkner County, Arkansas",55186,1729
0500000US05047,5047,"Franklin County, Arkansas",39801,2705
0500000US05049,5049,"Fulton County, Arkansas",36017,3788
0500000US05051,5051,"Garland County, Arkansas",42432,2123
0500000US05053,5053,"Grant County, Arkansas",50152,3599
0500000US05055,5055,"Greene County, Arkansas",43226,3027
0500000US05057,5057,"Hempstead County, Arkansas",42106,2550
0500000US05059,5059,"Hot Spring County, Arkansas",46391,3376
0500000US05061,5061,"Howard County, Arkansas",40331,3696
0500000US05063,5063,"Independence County, Arkansas",39350,3040
0500000US05065,5065,"Izard County, Arkansas",35177,3040
0500000US05067,5067,"Jackson County, Arkansas",33781,3110
0500000US05069,5069,"Jefferson County, Arkansas",47285,2948
0500000US05071,5071,"Johnson County, Arkansas",35867,2070
0500000US05073,5073,"Lafayette County, Arkansas",41047,5303
0500000US05075,5075,"Lawrence County, Arkansas",33691,3271
0500000US05077,5077,"Lee County, Arkansas",39434,5362
0500000US05079,5079,"Lincoln County, Arkansas",41833,5134
0500000US05081,5081,"Little River County, Arkansas",39200,7063
0500000US05083,5083,"Logan County, Arkansas",37362,2112
0500000US05085,5085,"Lonoke County, Arkansas",57780,1831
0500000US05087,5087,"Madison County, Arkansas",40814,2542
0500000US05089,5089,"Marion County, Arkansas",33883,2095
0500000US05091,5091,"Miller County, Arkansas",45653,2840
0500000US05093,5093,"Mississippi County, Arkansas",40906,1871
0500000US05095,5095,"Monroe County, Arkansas",37845,5406
0500000US05097,5097,"Montgomery County, Arkansas",35851,3156
0500000US05099,5099,"Nevada County, Arkansas",39671,6053
0500000US05101,5101,"Newton County, Arkansas",33026,5162
0500000US05103,5103,"Ouachita County, Arkansas",41172,3500
0500000US05105,5105,"Perry County, Arkansas",46491,3814
0500000US05107,5107,"Phillips County, Arkansas",44688,5856
0500000US05109,5109,"Pike County, Arkansas",36782,3379
0500000US05111,5111,"Poinsett County, Arkansas",36920,2480
0500000US05113,5113,"Polk County, Arkansas",33570,2495
0500000US05115,5115,"Pope County, Arkansas",41662,2046
0500000US05117,5117,"Prairie County, Arkansas",40634,2042
0500000US05119,5119,"Pulaski County, Arkansas",59406,1568
0500000US05121,5121,"Randolph County, Arkansas",36460,3045
0500000US05123,5123,"St. Francis County, Arkansas",39337,2433
0500000US05125,5125,"Saline County, Arkansas",59752,2104
0500000US05127,5127,"Scott County, Arkansas",37931,3289
0500000US05129,5129,"Searcy County, Arkansas",35619,3640
0500000US05131,5131,"Sebastian County, Arkansas",44286,1995
0500000US05133,5133,"Sevier County, Arkansas",42051,4460
0500000US05135,5135,"Sharp County, Arkansas",30883,1732
0500000US05137,5137,"Stone County, Arkansas",30600,3087
0500000US05139,5139,"Union County, Arkansas",48750,3558
0500000US05141,5141,"Van Buren County, Arkansas",33950,3509
0500000US05143,5143,"Washington County, Arkansas",48407,1723
0500000US05145,5145,"White County, Arkansas",43137,1987
0500000US05147,5147,"Woodruff County, Arkansas",32252,2885
0500000US05149,5149,"Yell County, Arkansas",40528,3356
0500000US06001,6001,"Alameda County, California",95331,1348
0500000US06003,6003,"Alpine County, California",65625,10297
0500000US06005,6005,"Amador County, California",55608,4232
0500000US06007,6007,"Butte County, California",46740,1707
0500000US06009,6009,"Calaveras County, California",55474,4554
0500000US06011,6011,"Colusa County, California",63359,2348
0500000US06013,6013,"Contra Costa County, California",96220,1159
0500000US06015,6015,"Del Norte County, California",45574,5962
0500000US06017,6017,"El Dorado County, California",73473,1800
0500000US06019,6019,"Fresno County, California",61420,866
0500000US06021,6021,"Glenn County, California",43181,4118
0500000US06023,6023,"Humboldt County, California",44704,1593
0500000US06025,6025,"Imperial County, California",52573,5204
0500000US06027,6027,"Inyo County, California",50164,5867
0500000US06029,6029,"Kern County, California",60940,1403
0500000US06031,6031,"Kings County, California",60878,1995
0500000US06033,6033,"Lake County, California",39003,3059
0500000US06035,6035,"Lassen County, California",52139,2604
0500000US06037,6037,"Los Angeles County, California",76751,536
0500000US06039,6039,"Madera County, California",55215,3521
0500000US06041,6041,"Marin County, California",109205,2670
0500000US06043,6043,"Mariposa County, California",49940,3788
0500000US06045,6045,"Mendocino County, California",46731,2754
0500000US06047,6047,"Merced County, California",51754,2008
0500000US06049,6049,"Modoc County, California",43266,4939
0500000US06051,6051,"Mono County, California",66526,10185
0500000US06053,6053,"Monterey County, California",75395,2200
0500000US06055,6055,"Napa County, California",80840,2488
0500000US06057,6057,"Nevada County, California",58149,2682
0500000US06059,6059,"Orange County, California",89331,872
0500000US06061,6061,"Placer County, California",77538,1578
0500000US06063,6063,"Plumas County, California",50952,2512
0500000US06065,6065,"Riverside County, California",64844,884
0500000US06067,6067,"Sacramento County, California",64462,798
0500000US06069,6069,"San Benito County, California",85154,6080
0500000US06071,6071,"San Bernardino County, California",60088,914
0500000US06073,6073,"San Diego County, California",75500,604
0500000US06075,6075,"San Francisco County, California",111704,1671
0500000US06077,6077,"San Joaquin County, California",64591,1360
0500000US06079,6079,"San Luis Obispo County, California",68535,2174
0500000US06081,6081,"San Mateo County, California",112359,1911
0500000US06083,6083,"Santa Barbara County, California",75120,1843
0500000US06085,6085,"Santa Clara County, California",111307,1329
0500000US06087,6087,"Santa Cruz County, California",78181,2234
0500000US06089,6089,"Shasta County, California",46776,959
0500000US06091,6091,"Sierra County, California",45769,13073
0500000US06093,6093,"Siskiyou County, California",40989,2386
0500000US06095,6095,"Solano County, California",75478,1559
0500000US06097,6097,"Sonoma County, California",71542,1359
0500000US06099,6099,"Stanislaus County, California",57474,1463
0500000US06101,6101,"Sutter County, California",61421,2045
0500000US06103,6103,"Tehama County, California",41634,2711
