01003	1
01073	10
01077	1
02020	4
02110	6
02170	1
04001	0
04005	0
04013	101
04019	3
04021	2
04025	1
04027	2
05119	2
05131	6
05133	2
06001	33
06005	0
06007	4
06013	12
06017	0
06019	9
06023	2
06029	9
06031	0
06033	2
06037	181
06041	2
06045	3
06047	0
06051	2
06053	2
06055	0
06059	21
06061	7
06065	15
06067	12
06069	0
06071	27
06073	38
06075	11
06077	7
06079	2
06081	5
06083	1
06085	17
06087	8
06089	9
06095	6
06097	6
06099	9
06101	1
06107	0
06109	1
06111	10
06113	5
06115	1
08001	1
08005	19
08013	7
08027	1
08029	0
08031	10
08035	2
08041	2
08043	1
08045	2
08059	1
08069	9
08075	1
08077	4
08097	0
08101	1
08111	1
08117	0
08119	1
08123	2
09001	22
09003	15
09005	1
09007	3
09009	13
09011	2
09013	1
09015	1
10001	1
10003	1
10005	1
11001	26
12001	4
12009	4
12011	5
12015	1
12019	2
12027	1
12033	2
12057	3
12069	1
12071	4
12086	2
12095	3
12097	1
12099	0
12101	2
12103	3
12109	0
12111	0
12117	0
12127	4
13121	0
13247	1
16001	1
16005	4
16009	1
16011	0
16027	4
16039	1
16055	3
16057	0
16075	0
16083	2
17019	1
17029	1
17031	34
17033	1
17043	2
17049	1
17089	3
17091	3
17097	1
17119	1
17121	2
17111	4
17113	3
17143	1
17167	3
17179	1
17187	1
17195	0
17197	5
17201	3
18003	2
18013	0
18035	1
18037	0
18063	0
18089	0
18091	2
18095	0
18097	20
18105	7
18127	1
18141	10
19015	1
19045	0
19061	1
19099	1
19103	4
19113	0
19123	1
19153	2
20013	1
20015	2
20037	1
20043	1
20051	1
20055	0
20057	2
20059	1
20071	0
20079	2
20091	3
20107	1
20125	1
20133	1
20151	1
20155	1
20169	3
20173	5
20177	1
20193	1
20197	1
20209	1
21005	1
21009	2
21015	1
21017	0
21019	1
21023	0
21027	1
21029	7
21035	1
21037	2
21047	6
21049	3
21059	5
21067	26
21073	3
21079	1
21083	2
21093	4
21095	1
21097	1
21101	2
21107	2
21111	4
21113	5
21117	7
21133	1
21151	3
21157	0
21161	1
21145	3
21147	1
21179	1
21191	0
21197	0
21209	3
21211	3
21213	2
21215	1
21219	0
21227	6
21237	1
21239	1
22009	1
22015	1
22017	0
22019	1
22033	2
22057	1
22065	1
22071	3
22089	6
22095	4
23001	2
23005	7
23007	0
23011	1
23019	1
23031	5
24510	1
24025	4
24033	1
25001	2
25003	2
25005	4
25007	0
25009	19
25011	0
25013	8
25015	2
25017	58
25021	14
25023	1
25025	75
25027	7
26005	0
26015	3
26019	1
26021	2
26023	1
26025	6
26035	1
26041	1
26045	2
26047	1
26049	17
26055	4
26057	2
26059	1
26061	2
26063	1
26065	7
26067	1
26073	1
26075	3
26077	5
26081	3
26087	3
26093	0
26095	0
26097	0
26099	14
26103	3
26105	4
26107	3
